step,hour,day,total_energy,avg_energy
0,0,0,2319.338554794521,6.234781061275593
1,1,0,2319.338554794521,6.234781061275593
2,2,0,2319.338554794521,6.234781061275593
3,3,0,2319.338554794521,6.234781061275593
4,4,0,2319.338554794521,6.234781061275593
5,5,0,2319.338554794521,6.234781061275593
6,6,0,2077.6985547945205,5.585211168802474
7,7,0,2077.6985547945205,5.585211168802474
8,8,0,1817.5085547945207,4.885775684931508
9,9,0,1817.5085547945207,4.885775684931508
10,10,0,1817.5085547945207,4.885775684931508
11,11,0,1817.5085547945207,4.885775684931508
12,12,0,1817.5085547945207,4.885775684931508
13,13,0,1817.5085547945207,4.885775684931508
14,14,0,2059.148554794521,5.535345577404626
15,15,0,2059.148554794521,5.535345577404626
16,16,0,2319.338554794521,6.234781061275593
17,17,0,2319.338554794521,6.234781061275593
18,18,0,2319.338554794521,6.234781061275593
19,19,0,2319.338554794521,6.234781061275593
20,20,0,2319.338554794521,6.234781061275593
21,21,0,2319.338554794521,6.234781061275593
22,22,0,2319.338554794521,6.234781061275593
23,23,0,2319.338554794521,6.234781061275593
