step,hour,day,total_energy,avg_energy
0,0,0,2343.878554794521,6.300748803211078
1,1,0,2343.878554794521,6.300748803211078
2,2,0,2343.878554794521,6.300748803211078
3,3,0,2343.878554794521,6.300748803211078
4,4,0,2343.878554794521,6.300748803211078
5,5,0,2343.878554794521,6.300748803211078
6,6,0,2073.0185547945207,5.572630523641185
7,7,0,2073.0185547945207,5.572630523641185
8,8,0,1825.8285547945206,4.908141276329356
9,9,0,1825.8285547945206,4.908141276329356
10,10,0,1825.8285547945206,4.908141276329356
11,11,0,1825.8285547945206,4.908141276329356
12,12,0,1825.8285547945206,4.908141276329356
13,13,0,1825.8285547945206,4.908141276329356
14,14,0,2096.6885547945208,5.636259555899249
15,15,0,2096.6885547945208,5.636259555899249
16,16,0,2343.878554794521,6.300748803211078
17,17,0,2343.878554794521,6.300748803211078
18,18,0,2343.878554794521,6.300748803211078
19,19,0,2343.878554794521,6.300748803211078
20,20,0,2343.878554794521,6.300748803211078
21,21,0,2343.878554794521,6.300748803211078
22,22,0,2343.878554794521,6.300748803211078
23,23,0,2343.878554794521,6.300748803211078
